"IntegrationTime","Points:0","Points:1","Points:2"
2.2608,0.52513,-1.6911,6.8459
2.3784,0.59925,-1.891,6.6892
2.4143,0.62453,-1.9578,6.6267
2.4418,0.64453,-2.01,6.5741
2.4774,0.67074,-2.0769,6.5008
2.5087,0.69409,-2.1351,6.4308
2.6422,0.79135,-2.3629,6.0952
2.6852,0.82547,-2.4374,5.9621
2.8345,0.94188,-2.6622,5.4513
2.9682,1.0515,-2.8163,4.8971
3.0904,1.1599,-2.8965,4.3212
3.2026,1.2769,-2.9027,3.7507
3.2477,1.3318,-2.8835,3.5144
3.3536,1.4916,-2.7857,2.9719
3.3987,1.5762,-2.7195,2.751
3.426,1.6335,-2.6724,2.6221
3.5316,1.8906,-2.4373,2.1549
3.6305,2.1874,-2.1191,1.7774
3.6353,2.2032,-2.1002,1.7595
0,0.82329,0.8105,0.49357
0.036584,0.65818,0.90515,0.51162
0.074582,0.47862,0.96914,0.5316
0.11573,0.28224,0.99961,0.55482
0.15692,0.092243,0.99251,0.58012
0.21349,-0.14776,0.92824,0.61957
0.28737,-0.40294,0.76791,0.68008
0.31778,-0.48163,0.68649,0.70768
0.36206,-0.57096,0.55641,0.75204
0.44251,-0.65582,0.30441,0.84737
0.52663,-0.64549,0.063862,0.96776
0.56386,-0.6166,-0.025182,1.0281
0.60511,-0.57205,-0.11061,1.1015
0.63472,-0.53428,-0.16251,1.1583
0.66725,-0.48941,-0.21077,1.2257
0.71703,-0.41784,-0.26742,1.339
0.82252,-0.27579,-0.32766,1.6162
0.86252,-0.226,-0.33491,1.7445
0.89939,-0.18404,-0.33586,1.8743
0.98195,-0.10881,-0.32496,2.1907
1.0614,-0.055226,-0.30483,2.5513
1.1561,-0.012059,-0.27879,3.0457
1.2402,0.013021,-0.25863,3.5505
1.2819,0.021872,-0.25083,3.8182
1.3608,0.03447,-0.24128,4.3326
1.4399,0.043816,-0.23894,4.8472
1.5266,0.052472,-0.24501,5.3718
1.6274,0.062875,-0.26335,5.9068
1.7332,0.075819,-0.29553,6.3617
1.8003,0.084725,-0.32046,6.5739
1.8788,0.096767,-0.35603,6.7797
1.9815,0.11591,-0.41352,6.9878
